Date,High,Low,Open,Close,Volume,Adj Close,Company Name
2010-01-04,93.75,92.01249694824219,93.5625,92.7750015258789,1632148.0,73.47874450683594,HCL
2010-01-05,95.25,92.63749694824219,93.125,94.86250305175781,5037896.0,75.132080078125,HCL
2010-01-06,95.7249984741211,91.25,95.0250015258789,92.0,3992320.0,72.86494445800781,HCL
2010-01-07,92.9749984741211,89.80000305175781,92.9749984741211,90.0374984741211,3665940.0,71.31063842773438,HCL
2010-01-08,90.75,87.3125,90.75,87.9375,6241492.0,69.64741516113281,HCL
2010-01-11,90.375,87.94999694824219,87.94999694824219,88.8125,5742332.0,70.34042358398438,HCL
2010-01-12,93.44999694824219,88.75,89.25,91.9625015258789,9051468.0,72.83526611328125,HCL
2010-01-13,94.75,90.0250015258789,91.9625015258789,94.48750305175781,8064504.0,74.8350601196289,HCL
2010-01-14,95.9375,91.4000015258789,94.9749984741211,92.5250015258789,7763244.0,73.28076171875,HCL
2010-01-15,93.4749984741211,91.5374984741211,92.875,92.3499984741211,2749332.0,73.14215087890625,HCL
2010-01-18,94.5,91.75,91.75,94.13749694824219,3042216.0,74.55789184570312,HCL
2010-01-19,94.9749984741211,92.5,94.25,94.19999694824219,3261340.0,74.60736846923828,HCL
2010-01-20,96.2249984741211,93.5625,94.5875015258789,95.25,0.0,75.43898010253906,HCL
2010-01-21,96.69999694824219,91.63749694824219,95.3499984741211,92.625,0.0,73.3599624633789,HCL
2010-01-22,97.2249984741211,88.76249694824219,92.1875,95.6624984741211,0.0,75.76569366455078,HCL
2010-01-25,94.5374984741211,89.0999984741211,94.5374984741211,90.30000305175781,0.0,71.51853942871094,HCL
2010-01-27,90.30000305175781,81.2874984741211,88.5,82.55000305175781,0.0,65.38044738769531,HCL
2010-01-28,88.25,83.5250015258789,83.75,86.8375015258789,0.0,68.77619934082031,HCL
2010-01-29,88.5,79.7249984741211,83.0374984741211,86.69999694824219,0.0,68.86556243896484,HCL
2010-02-01,88.5,84.0374984741211,86.0,86.92500305175781,0.0,69.04427337646484,HCL
2010-02-02,89.75,84.25,88.25,85.5374984741211,0.0,67.94220733642578,HCL
2010-02-03,87.67500305175781,85.8125,86.73750305175781,87.23750305175781,0.0,69.29248809814453,HCL
